"sampleID","genotype","treatment_protocol","timepoint","fullSampleID","sex","experimentalBatch","treatment","genotype_treatment","genotype_timepoint","genotype_timepoint_treatment","genotype_timepoint_treatment_batch","seq_run","cell_set","sampleID_original","sampleID_unique"
"SAB07","D21","No Treatment","D6","S4D21_D6_NT_1","M","1","CTRL","D21_CTRL","D21_D6","D21_D6_CTRL","D21_D6_CTRL_1","1","Set4","SAB07","Set4_SAB07"
"SAB08","T21","No Treatment","D6","S4T21_D6_NT_1","M","1","CTRL","T21_CTRL","T21_D6","T21_D6_CTRL","T21_D6_CTRL_1","1","Set4","SAB08","Set4_SAB08"
"SAB09","D21","1uM RA D3-D5","D6","S4D21_D6_RA_1","M","1","RA","D21_RA","D21_D6","D21_D6_RA","D21_D6_RA_1","1","Set4","SAB09","Set4_SAB09"
"SAB10","T21","1uM RA D3-D5","D6","S4T21_D6_RA_1","M","1","RA","T21_RA","T21_D6","T21_D6_RA","T21_D6_RA_1","1","Set4","SAB10","Set4_SAB10"
"SAB12","T21","No Treatment","D3","S4T21_D3_NT_3","M","3","CTRL","T21_CTRL","T21_D3","T21_D3_CTRL","T21_D3_CTRL_3","1","Set4","SAB12","Set4_SAB12"
"SAB14","T21","No Treatment","D4","S4T21_D4_NT_3","M","3","CTRL","T21_CTRL","T21_D4","T21_D4_CTRL","T21_D4_CTRL_3","1","Set4","SAB14","Set4_SAB14"
"SAB16","T21","1uM RA D3-D5","D4","S4T21_D4_RA_3","M","3","RA","T21_RA","T21_D4","T21_D4_RA","T21_D4_RA_3","1","Set4","SAB16","Set4_SAB16"
"SAB18","T21","No Treatment","D6","S4T21_D6_NT_3","M","3","CTRL","T21_CTRL","T21_D6","T21_D6_CTRL","T21_D6_CTRL_3","1","Set4","SAB18","Set4_SAB18"
"SAB20","T21","1uM RA D3-D5","D6","S4T21_D6_RA_3","M","3","RA","T21_RA","T21_D6","T21_D6_RA","T21_D6_RA_3","1","Set4","SAB20","Set4_SAB20"
"SAB21","D21","No Treatment","D3","S4D21_D3_NT_4","M","4","CTRL","D21_CTRL","D21_D3","D21_D3_CTRL","D21_D3_CTRL_4","1","Set4","SAB21","Set4_SAB21"
"SAB22","T21","No Treatment","D3","S4T21_D3_NT_4","M","4","CTRL","T21_CTRL","T21_D3","T21_D3_CTRL","T21_D3_CTRL_4","1","Set4","SAB22","Set4_SAB22"
"SAB23","D21","No Treatment","D4","S4D21_D4_NT_4","M","4","CTRL","D21_CTRL","D21_D4","D21_D4_CTRL","D21_D4_CTRL_4","1","Set4","SAB23","Set4_SAB23"
"SAB24","T21","No Treatment","D4","S4T21_D4_NT_4","M","4","CTRL","T21_CTRL","T21_D4","T21_D4_CTRL","T21_D4_CTRL_4","1","Set4","SAB24","Set4_SAB24"
