"label","plate_no","exp_no","cell","treatment","treatment_label","treatment_no","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"D12_Sample36.fcs",1,4,"S4D21","NT","No Treatment",0,4,"D4",33.6,66.2,0.12,0.025,66.32,0.145,"S4","D21"
"G5_Sample65.fcs",1,1,"S4D21","NT","No Treatment",0,5,"D5",16.9,83,0.1,0.012,83.1,0.112,"S4","D21"
"G6_Sample66.fcs",1,2,"S4D21","NT","No Treatment",0,5,"D5",29.8,70.1,0.052,0.041,70.152,0.093,"S4","D21"
"G7_Sample67.fcs",1,3,"S4D21","NT","No Treatment",0,5,"D5",37.1,62.8,0.06,0.04,62.86,0.1,"S4","D21"
"G8_Sample68.fcs",1,4,"S4D21","NT","No Treatment",0,5,"D5",22.4,77.3,0.29,0.036,77.59,0.326,"S4","D21"
"C5_Sample17.fcs",2,1,"S4D21","NT","No Treatment",0,6,"D6",14,68.7,17,0.25,85.7,17.25,"S4","D21"
"C6_Sample18.fcs",2,2,"S4D21","NT","No Treatment",0,6,"D6",19.2,72.9,7.48,0.42,80.38,7.9,"S4","D21"
"C7_Sample19.fcs",2,3,"S4D21","NT","No Treatment",0,6,"D6",10.4,80.8,8.67,0.15,89.47,8.82,"S4","D21"
"C8_Sample20.fcs",2,4,"S4D21","NT","No Treatment",0,6,"D6",9.78,75.6,14.4,0.14,90,14.54,"S4","D21"
"F1_Sample49.fcs",2,1,"S4D21","NT","No Treatment",0,7,"D7",28.9,54.9,15.8,0.31,70.7,16.11,"S4","D21"
"F2_Sample50.fcs",2,2,"S4D21","NT","No Treatment",0,7,"D7",23.5,55.5,20.6,0.52,76.1,21.12,"S4","D21"
"F3_Sample51.fcs",2,3,"S4D21","NT","No Treatment",0,7,"D7",25.7,56.2,17.6,0.46,73.8,18.06,"S4","D21"
"F4_Sample52.fcs",2,4,"S4D21","NT","No Treatment",0,7,"D7",25.7,56.2,17.6,0.46,73.8,18.06,"S4","D21"
"C5_Sample17.fcs",3,1,"S4D21","NT","No Treatment",0,8,"D8",39.2,33.4,25.9,1.54,59.3,27.44,"S4","D21"
"C6_Sample18.fcs",3,2,"S4D21","NT","No Treatment",0,8,"D8",24.8,36.8,36.1,2.32,72.9,38.42,"S4","D21"
"C7_Sample19.fcs",3,3,"S4D21","NT","No Treatment",0,8,"D8",13.6,64,22.1,0.33,86.1,22.43,"S4","D21"
"C8_Sample20.fcs",3,4,"S4D21","NT","No Treatment",0,8,"D8",38.2,38.3,21.8,1.58,60.1,23.38,"S4","D21"
"F1_Sample49.fcs",3,1,"S4D21","NT","No Treatment",0,9,"D9",48.8,19.4,27,4.72,46.4,31.72,"S4","D21"
"F2_Sample50.fcs",3,2,"S4D21","NT","No Treatment",0,9,"D9",41.7,23.4,27.5,7.33,50.9,34.83,"S4","D21"
"F3_Sample51.fcs",3,3,"S4D21","NT","No Treatment",0,9,"D9",18.4,48.6,30.9,2.04,79.5,32.94,"S4","D21"
"F4_Sample52.fcs",3,4,"S4D21","NT","No Treatment",0,9,"D9",46.6,24.7,24.9,3.72,49.6,28.62,"S4","D21"
"C5_Sample17.fcs",4,1,"S4D21","NT","No Treatment",0,10,"D10",62.2,11.6,16.8,9.47,28.4,26.27,"S4","D21"
"C6_Sample18.fcs",4,2,"S4D21","NT","No Treatment",0,10,"D10",50.3,18.5,17.7,13.5,36.2,31.2,"S4","D21"
"C7_Sample19.fcs",4,3,"S4D21","NT","No Treatment",0,10,"D10",26.3,40.7,23.8,9.18,64.5,32.98,"S4","D21"
"C8_Sample20.fcs",4,4,"S4D21","NT","No Treatment",0,10,"D10",50.5,20.8,21.1,7.63,41.9,28.73,"S4","D21"
"C1_Sample13.fcs",1,1,"S4T21","NT","No Treatment",0,3,"D3",59.4,40.4,0.043,0.13,40.443,0.173,"S4","T21"
"C2_Sample14.fcs",1,2,"S4T21","NT","No Treatment",0,3,"D3",87.1,12.6,0.068,0.25,12.668,0.318,"S4","T21"
"C3_Sample15.fcs",1,3,"S4T21","NT","No Treatment",0,3,"D3",79.3,20.3,0.2,0.3,20.5,0.5,"S4","T21"
"C4_Sample16.fcs",1,4,"S4T21","NT","No Treatment",0,3,"D3",79.6,19.8,0.37,0.22,20.17,0.59,"S4","T21"
"E1_Sample37.fcs",1,1,"S4T21","NT","No Treatment",0,4,"D4",14,85.9,0.081,0.00903,85.981,0.09003,"S4","T21"
"E2_Sample38.fcs",1,2,"S4T21","NT","No Treatment",0,4,"D4",20.4,79.6,0.058,0,79.658,0.058,"S4","T21"
"E3_Sample39.fcs",1,3,"S4T21","NT","No Treatment",0,4,"D4",17.2,82.6,0.099,0.03,82.699,0.129,"S4","T21"
"E4_Sample40.fcs",1,4,"S4T21","NT","No Treatment",0,4,"D4",17.2,82.6,0.099,0.03,82.699,0.129,"S4","T21"
"G9_Sample69.fcs",1,1,"S4T21","NT","No Treatment",0,5,"D5",10.7,88.3,0.94,0.011,89.24,0.951,"S4","T21"
