sampleID_unique,score,module,sampleID,genotype,treatment_protocol,timepoint,fullSampleID,sex,experimentalBatch,treatment,genotype_treatment,genotype_timepoint,genotype_timepoint_treatment,genotype_timepoint_treatment_batch,seq_run,cell_set,sampleID_original,group,day_num
Set4_SAB25,0.22246479306315725,curated_ra_signaling,SAB25,D21,1uM RA D3-D5,D4,S4D21_D4_RA_4,M,4,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_4,1,Set4,SAB25,D21_RA_D4,4
Set4_SAB26,0.22404157185904927,curated_ra_signaling,SAB26,T21,1uM RA D3-D5,D4,S4T21_D4_RA_4,M,4,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_4,1,Set4,SAB26,T21_RA_D4,4
Set4_SAB61,0.1434512022630835,curated_ra_signaling,SAB61,D21,No Treatment,D6,S4D21_D6_NT_4,M,4,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_4,2,Set4,SAB61,D21_CTRL_D6,6
Set4_SAB62,0.14539450218313754,curated_ra_signaling,SAB62,T21,No Treatment,D6,S4T21_D6_NT_4,M,4,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_4,2,Set4,SAB62,T21_CTRL_D6,6
Set4_SAB63,0.1896500830207244,curated_ra_signaling,SAB63,D21,1uM RA D3-D5,D6,S4D21_D6_RA_4,M,4,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_4,2,Set4,SAB63,D21_RA_D6,6
Set4_SAB64,0.1801648115122071,curated_ra_signaling,SAB64,T21,1uM RA D3-D5,D6,S4T21_D6_RA_4,M,4,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_4,2,Set4,SAB64,T21_RA_D6,6
Set4_SAB65,0.12621978968083147,curated_ra_signaling,SAB65,D21,No Treatment,D8,S4D21_D8_NT_1,M,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,2,Set4,SAB65,D21_CTRL_D8,8
Set4_SAB66,0.12955291802472169,curated_ra_signaling,SAB66,T21,No Treatment,D8,S4T21_D8_NT_1,M,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,2,Set4,SAB66,T21_CTRL_D8,8
Set4_SAB67,0.13772707705553167,curated_ra_signaling,SAB67,D21,1uM RA D3-D5,D8,S4D21_D8_RA_1,M,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,2,Set4,SAB67,D21_RA_D8,8
Set4_SAB68,0.14269110140827745,curated_ra_signaling,SAB68,T21,1uM RA D3-D5,D8,S4T21_D8_RA_1,M,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,2,Set4,SAB68,T21_RA_D8,8
Set4_SAB69,0.123073611708997,curated_ra_signaling,SAB69,D21,No Treatment,D10,S4D21_D10_NT_1,M,1,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_1,2,Set4,SAB69,D21_CTRL_D10,10
Set4_SAB70,0.12533915503351578,curated_ra_signaling,SAB70,T21,No Treatment,D10,S4T21_D10_NT_1,M,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,2,Set4,SAB70,T21_CTRL_D10,10
Set4_SAB71,0.13320828977307664,curated_ra_signaling,SAB71,D21,1uM RA D3-D5,D10,S4D21_D10_RA_1,M,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,2,Set4,SAB71,D21_RA_D10,10
Set4_SAB72,0.14349793985609738,curated_ra_signaling,SAB72,T21,1uM RA D3-D5,D10,S4T21_D10_RA_1,M,1,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_1,2,Set4,SAB72,T21_RA_D10,10
Set4_SAB74,0.12609187626837215,curated_ra_signaling,SAB74,T21,No Treatment,D8,S4T21_D8_NT_3,M,3,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_3,2,Set4,SAB74,T21_CTRL_D8,8
Set4_SAB76,0.13669639013590795,curated_ra_signaling,SAB76,T21,1uM RA D3-D5,D8,S4T21_D8_RA_3,M,3,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_3,2,Set4,SAB76,T21_RA_D8,8
Set4_SAB78,0.12298013652296902,curated_ra_signaling,SAB78,T21,No Treatment,D10,S4T21_D10_NT_3,M,3,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_3,2,Set4,SAB78,T21_CTRL_D10,10
Set4_SAB80,0.13935551319107065,curated_ra_signaling,SAB80,T21,1uM RA D3-D5,D10,S4T21_D10_RA_3,M,3,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_3,2,Set4,SAB80,T21_RA_D10,10
Set4_SAB81,0.13237685259209153,curated_ra_signaling,SAB81,D21,No Treatment,D8,S4D21_D8_NT_4,M,4,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_4,2,Set4,SAB81,D21_CTRL_D8,8
Set4_SAB82,0.13124777073980687,curated_ra_signaling,SAB82,T21,No Treatment,D8,S4T21_D8_NT_4,M,4,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_4,2,Set4,SAB82,T21_CTRL_D8,8
Set4_SAB83,0.15134493573580954,curated_ra_signaling,SAB83,D21,1uM RA D3-D5,D8,S4D21_D8_RA_4,M,4,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_4,2,Set4,SAB83,D21_RA_D8,8
Set4_SAB84,0.15503228583727946,curated_ra_signaling,SAB84,T21,1uM RA D3-D5,D8,S4T21_D8_RA_4,M,4,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_4,2,Set4,SAB84,T21_RA_D8,8
Set4_SAB85,0.1260623577885739,curated_ra_signaling,SAB85,D21,No Treatment,D10,S4D21_D10_NT_4,M,4,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_4,2,Set4,SAB85,D21_CTRL_D10,10
Set4_SAB86,0.1298161244695898,curated_ra_signaling,SAB86,T21,No Treatment,D10,S4T21_D10_NT_4,M,4,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_4,2,Set4,SAB86,T21_CTRL_D10,10
Set4_SAB87,0.14165549474202077,curated_ra_signaling,SAB87,D21,1uM RA D3-D5,D10,S4D21_D10_RA_4,M,4,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_4,2,Set4,SAB87,D21_RA_D10,10
Set4_SAB88,0.14837586864276497,curated_ra_signaling,SAB88,T21,1uM RA D3-D5,D10,S4T21_D10_RA_4,M,4,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_4,2,Set4,SAB88,T21_RA_D10,10
Set3_SAB01,0.18970748991669495,curated_pluripotency,SAB01,D21,No Treatment,D3,S3D21_D3_ctrl_1,F,1,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_1,1,Set3,SAB01,D21_CTRL_D3,3
Set3_SAB02,0.1823711787100908,curated_pluripotency,SAB02,T21,No Treatment,D3,S3T21 _D3 _ctrl_1,F,1,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_1,1,Set3,SAB02,T21_CTRL_D3,3
Set3_SAB03,0.15538655810622337,curated_pluripotency,SAB03,D21,No Treatment,D4,S3D21_D4_ctrl_1,F,1,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_1,1,Set3,SAB03,D21_CTRL_D4,4
Set3_SAB04,0.17259414225941427,curated_pluripotency,SAB04,T21,No Treatment,D4,S3T21 _D4 _ctrl_1,F,1,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_1,1,Set3,SAB04,T21_CTRL_D4,4
Set3_SAB05,0.10742489351275963,curated_pluripotency,SAB05,D21,1uM RA D3-D5,D4,S3D21_D4_RA_1,F,1,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_1,1,Set3,SAB05,D21_RA_D4,4
Set3_SAB06,0.12685645896942976,curated_pluripotency,SAB06,T21,1uM RA D3-D5,D4,S3T21 _D4_RA_1,F,1,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_1,1,Set3,SAB06,T21_RA_D4,4
Set3_SAB07,0.03768517471446342,curated_pluripotency,SAB07,D21,No Treatment,D6,S3D21_D6_ctrl_1,F,1,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_1,1,Set3,SAB07,D21_CTRL_D6,6
Set3_SAB08,0.06336933167477099,curated_pluripotency,SAB08,T21,No Treatment,D6,S3T21 _D6_ctrl_1,F,1,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_1,1,Set3,SAB08,T21_CTRL_D6,6
Set3_SAB09,0.015845866787289387,curated_pluripotency,SAB09,D21,1uM RA D3-D5,D6,S3D21_D6_RA_1,F,1,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_1,1,Set3,SAB09,D21_RA_D6,6
Set3_SAB10,0.027154246296505757,curated_pluripotency,SAB10,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_1,F,1,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_1,1,Set3,SAB10,T21_RA_D6,6
Set3_SAB11,-0.020896942968072707,curated_pluripotency,SAB11,D21,No Treatment,D8,S3D21_D8_ctrl_1,F,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,1,Set3,SAB11,D21_CTRL_D8,8
Set3_SAB12,-0.0010931433525576129,curated_pluripotency,SAB12,T21,No Treatment,D8,S3T21 _D8_ctrl_1,F,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,1,Set3,SAB12,T21_CTRL_D8,8
Set3_SAB13,-0.05149082136529837,curated_pluripotency,SAB13,D21,1uM RA D3-D5,D8,S3D21_D8_RA_1,F,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,1,Set3,SAB13,D21_RA_D8,8
Set3_SAB14,-0.03938614346564134,curated_pluripotency,SAB14,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_1,F,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,1,Set3,SAB14,T21_RA_D8,8
Set3_SAB15,-0.07267989747069248,curated_pluripotency,SAB15,D21,No Treatment,D10,S3D21_D10_ctrl_1,F,1,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_1,1,Set3,SAB15,D21_CTRL_D10,10
Set3_SAB16,-0.06130555241433905,curated_pluripotency,SAB16,T21,No Treatment,D10,S3T21 _D10_ctrl_1,F,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,1,Set3,SAB16,T21_CTRL_D10,10
Set3_SAB17,-0.08725828338799052,curated_pluripotency,SAB17,D21,1uM RA D3-D5,D10,S3D21_D10_RA_1,F,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,1,Set3,SAB17,D21_RA_D10,10
Set3_SAB18,-0.07343850126276902,curated_pluripotency,SAB18,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_1,F,1,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_1,1,Set3,SAB18,T21_RA_D10,10
Set3_SAB19,0.17110049379923864,curated_pluripotency,SAB19,D21,No Treatment,D3,S3D21_D3_ctrl_2,F,2,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_2,1,Set3,SAB19,D21_CTRL_D3,3
Set3_SAB20,0.1659504692977496,curated_pluripotency,SAB20,T21,No Treatment,D3,S3T21 _D3 _ctrl_2,F,2,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_2,1,Set3,SAB20,T21_CTRL_D3,3
Set3_SAB21,0.15324267782426781,curated_pluripotency,SAB21,D21,No Treatment,D4,S3D21_D4_ctrl_2,F,2,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_2,1,Set3,SAB21,D21_CTRL_D4,4
Set3_SAB22,0.1404406498548758,curated_pluripotency,SAB22,T21,No Treatment,D4,S3T21 _D4 _ctrl_2,F,2,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_2,1,Set3,SAB22,T21_CTRL_D4,4
Set3_SAB23,0.09383127897772248,curated_pluripotency,SAB23,D21,1uM RA D3-D5,D4,S3D21_D4_RA_2,F,2,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_2,1,Set3,SAB23,D21_RA_D4,4
Set3_SAB24,0.10913528591352861,curated_pluripotency,SAB24,T21,1uM RA D3-D5,D4,S3T21 _D4_RA_2,F,2,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_2,1,Set3,SAB24,T21_RA_D4,4
Set3_SAB25,0.045492668400618275,curated_pluripotency,SAB25,D21,No Treatment,D6,S3D21_D6_ctrl_2,F,2,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_2,1,Set3,SAB25,D21_CTRL_D6,6
Set3_SAB26,0.09048588337291275,curated_pluripotency,SAB26,T21,No Treatment,D6,S3T21 _D6_ctrl_2,F,2,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_2,1,Set3,SAB26,T21_CTRL_D6,6
Set3_SAB27,0.008495420106298779,curated_pluripotency,SAB27,D21,1uM RA D3-D5,D6,S3D21_D6_RA_2,F,2,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_2,1,Set3,SAB27,D21_RA_D6,6
Set3_SAB28,-6.596554713705904e-5,curated_pluripotency,SAB28,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_2,F,2,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_2,1,Set3,SAB28,T21_RA_D6,6
Set3_SAB29,-0.031131026423913466,curated_pluripotency,SAB29,D21,No Treatment,D8,S3D21_D8_ctrl_2,F,2,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_2,1,Set3,SAB29,D21_CTRL_D8,8
Set3_SAB30,0.004999246108032707,curated_pluripotency,SAB30,T21,No Treatment,D8,S3T21 _D8_ctrl_2,F,2,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_2,1,Set3,SAB30,T21_CTRL_D8,8
Set3_SAB31,-0.06009461344189376,curated_pluripotency,SAB31,D21,1uM RA D3-D5,D8,S3D21_D8_RA_2,F,2,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_2,1,Set3,SAB31,D21_RA_D8,8
Set3_SAB32,-0.08022824079309437,curated_pluripotency,SAB32,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_2,F,2,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_2,1,Set3,SAB32,T21_RA_D8,8
Set3_SAB33,-0.09512231897169132,curated_pluripotency,SAB33,D21,No Treatment,D10,S3D21_D10_ctrl_2,F,2,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_2,1,Set3,SAB33,D21_CTRL_D10,10
Set3_SAB34,-0.05052960910701498,curated_pluripotency,SAB34,T21,No Treatment,D10,S3T21 _D10_ctrl_2,F,2,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_2,1,Set3,SAB34,T21_CTRL_D10,10
Set3_SAB35,-0.10635530928417958,curated_pluripotency,SAB35,D21,1uM RA D3-D5,D10,S3D21_D10_RA_2,F,2,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_2,1,Set3,SAB35,D21_RA_D10,10
Set3_SAB36,-0.1276291982358928,curated_pluripotency,SAB36,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_2,F,2,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_2,1,Set3,SAB36,T21_RA_D10,10
Set3_SAB37,0.22036262203626222,curated_pluripotency,SAB37,D21,No Treatment,D3,S3D21_D3_ctrl_3,F,3,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_3,1,Set3,SAB37,D21_CTRL_D3,3
Set3_SAB38,0.20389479437596592,curated_pluripotency,SAB38,T21,No Treatment,D3,S3T21 _D3 _ctrl_3,F,3,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_3,1,Set3,SAB38,T21_CTRL_D3,3
Set3_SAB39,0.2105573146368125,curated_pluripotency,SAB39,D21,No Treatment,D4,S3D21_D4_ctrl_3,F,3,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_3,1,Set3,SAB39,D21_CTRL_D4,4
Set3_SAB40,0.19582815032605827,curated_pluripotency,SAB40,T21,No Treatment,D4,S3T21 _D4 _ctrl_3,F,3,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_3,1,Set3,SAB40,T21_CTRL_D4,4
Set3_SAB41,0.18482132760375436,curated_pluripotency,SAB41,D21,1uM RA D3-D5,D4,S3D21_D4_RA_3,F,3,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_3,1,Set3,SAB41,D21_RA_D4,4
Set3_SAB42,0.15819480568434552,curated_pluripotency,SAB42,T21,1uM RA D3-D5,D4,S3T21 _D4_RA_3,F,3,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_3,1,Set3,SAB42,T21_RA_D4,4
Set3_SAB43,0.21270119491876815,curated_pluripotency,SAB43,D21,No Treatment,D6,S3D21_D6_ctrl_3,F,3,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_3,1,Set3,SAB43,D21_CTRL_D6,6
Set3_SAB44,0.15577292773945495,curated_pluripotency,SAB44,T21,No Treatment,D6,S3T21 _D6_ctrl_3,F,3,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_3,1,Set3,SAB44,T21_CTRL_D6,6
Set3_SAB45,0.08633947755286664,curated_pluripotency,SAB45,D21,1uM RA D3-D5,D6,S3D21_D6_RA_3,F,3,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_3,1,Set3,SAB45,D21_RA_D6,6
Set3_SAB46,0.06138565343586255,curated_pluripotency,SAB46,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_3,F,3,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_3,1,Set3,SAB46,T21_RA_D6,6
Set3_SAB47,0.02291831580534509,curated_pluripotency,SAB47,D21,No Treatment,D8,S3D21_D8_ctrl_3,F,3,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_3,1,Set3,SAB47,D21_CTRL_D8,8
Set3_SAB48,0.0292227373817332,curated_pluripotency,SAB48,T21,No Treatment,D8,S3T21 _D8_ctrl_3,F,3,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_3,1,Set3,SAB48,T21_CTRL_D8,8
Set3_SAB49,-0.019869765162652153,curated_pluripotency,SAB49,D21,1uM RA D3-D5,D8,S3D21_D8_RA_3,F,3,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_3,1,Set3,SAB49,D21_RA_D8,8
Set3_SAB50,-0.04198707075276109,curated_pluripotency,SAB50,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_3,F,3,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_3,1,Set3,SAB50,T21_RA_D8,8
Set3_SAB51,-0.00965452900599345,curated_pluripotency,SAB51,D21,No Treatment,D10,S3D21_D10_ctrl_3,F,3,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_3,1,Set3,SAB51,D21_CTRL_D10,10
Set3_SAB52,0.013131855705077466,curated_pluripotency,SAB52,T21,No Treatment,D10,S3T21 _D10_ctrl_3,F,3,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_3,1,Set3,SAB52,T21_CTRL_D10,10
Set3_SAB53,-0.06669116815560328,curated_pluripotency,SAB53,D21,1uM RA D3-D5,D10,S3D21_D10_RA_3,F,3,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_3,1,Set3,SAB53,D21_RA_D10,10
Set3_SAB54,-0.037308228730822846,curated_pluripotency,SAB54,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_3,F,3,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_3,1,Set3,SAB54,T21_RA_D10,10
Set4_SAB01,0.21010969128123935,curated_pluripotency,SAB01,D21,No Treatment,D3,S4D21_D3_NT_1,M,1,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_1,1,Set4,SAB01,D21_CTRL_D3,3
Set4_SAB02,0.15965547137095248,curated_pluripotency,SAB02,T21,No Treatment,D3,S4T21_D3_NT_1,M,1,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_1,1,Set4,SAB02,T21_CTRL_D3,3
Set4_SAB03,0.1683299408194806,curated_pluripotency,SAB03,D21,No Treatment,D4,S4D21_D4_NT_1,M,1,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_1,1,Set4,SAB03,D21_CTRL_D4,4
Set4_SAB04,0.129155829469637,curated_pluripotency,SAB04,T21,No Treatment,D4,S4T21_D4_NT_1,M,1,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_1,1,Set4,SAB04,T21_CTRL_D4,4
Set4_SAB05,0.1468817143503336,curated_pluripotency,SAB05,D21,1uM RA D3-D5,D4,S4D21_D4_RA_1,M,1,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_1,1,Set4,SAB05,D21_RA_D4,4
Set4_SAB06,0.08308831844396702,curated_pluripotency,SAB06,T21,1uM RA D3-D5,D4,S4T21_D4_RA_1,M,1,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_1,1,Set4,SAB06,T21_RA_D4,4
Set4_SAB07,0.08101982735873947,curated_pluripotency,SAB07,D21,No Treatment,D6,S4D21_D6_NT_1,M,1,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_1,1,Set4,SAB07,D21_CTRL_D6,6
Set4_SAB08,0.027036450676617974,curated_pluripotency,SAB08,T21,No Treatment,D6,S4T21_D6_NT_1,M,1,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_1,1,Set4,SAB08,T21_CTRL_D6,6
Set4_SAB09,0.04471992913415501,curated_pluripotency,SAB09,D21,1uM RA D3-D5,D6,S4D21_D6_RA_1,M,1,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_1,1,Set4,SAB09,D21_RA_D6,6
Set4_SAB10,0.013890459497154062,curated_pluripotency,SAB10,T21,1uM RA D3-D5,D6,S4T21_D6_RA_1,M,1,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_1,1,Set4,SAB10,T21_RA_D6,6
Set4_SAB12,0.17222190810056914,curated_pluripotency,SAB12,T21,No Treatment,D3,S4T21_D3_NT_3,M,3,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_3,1,Set4,SAB12,T21_CTRL_D3,3
Set4_SAB14,0.1283878020279694,curated_pluripotency,SAB14,T21,No Treatment,D4,S4T21_D4_NT_3,M,3,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_3,1,Set4,SAB14,T21_CTRL_D4,4
Set4_SAB16,0.10131836857778276,curated_pluripotency,SAB16,T21,1uM RA D3-D5,D4,S4T21_D4_RA_3,M,3,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_3,1,Set4,SAB16,T21_RA_D4,4
Set4_SAB18,0.04854593086810666,curated_pluripotency,SAB18,T21,No Treatment,D6,S4T21_D6_NT_3,M,3,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_3,1,Set4,SAB18,T21_CTRL_D6,6
Set4_SAB20,0.016199253646952405,curated_pluripotency,SAB20,T21,1uM RA D3-D5,D6,S4T21_D6_RA_3,M,3,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_3,1,Set4,SAB20,T21_RA_D6,6
Set4_SAB21,0.23294790606506088,curated_pluripotency,SAB21,D21,No Treatment,D3,S4D21_D3_NT_4,M,4,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_4,1,Set4,SAB21,D21_CTRL_D3,3
Set4_SAB22,0.1876578461306494,curated_pluripotency,SAB22,T21,No Treatment,D3,S4T21_D3_NT_4,M,4,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_4,1,Set4,SAB22,T21_CTRL_D3,3
Set4_SAB23,0.20208545365449138,curated_pluripotency,SAB23,D21,No Treatment,D4,S4D21_D4_NT_4,M,4,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_4,1,Set4,SAB23,D21_CTRL_D4,4
Set4_SAB24,0.13340118361038866,curated_pluripotency,SAB24,T21,No Treatment,D4,S4T21_D4_NT_4,M,4,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_4,1,Set4,SAB24,T21_CTRL_D4,4
Set4_SAB25,0.20241528139017673,curated_pluripotency,SAB25,D21,1uM RA D3-D5,D4,S4D21_D4_RA_4,M,4,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_4,1,Set4,SAB25,D21_RA_D4,4
Set4_SAB26,0.12000546571676274,curated_pluripotency,SAB26,T21,1uM RA D3-D5,D4,S4T21_D4_RA_4,M,4,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_4,1,Set4,SAB26,T21_RA_D4,4
Set4_SAB61,0.10162463718949077,curated_pluripotency,SAB61,D21,No Treatment,D6,S4D21_D6_NT_4,M,4,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_4,2,Set4,SAB61,D21_CTRL_D6,6
Set4_SAB62,0.0665451015869426,curated_pluripotency,SAB62,T21,No Treatment,D6,S4T21_D6_NT_4,M,4,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_4,2,Set4,SAB62,T21_CTRL_D6,6
Set4_SAB63,0.07854611934109834,curated_pluripotency,SAB63,D21,1uM RA D3-D5,D6,S4D21_D6_RA_4,M,4,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_4,2,Set4,SAB63,D21_RA_D6,6
Set4_SAB64,0.02970334351087489,curated_pluripotency,SAB64,T21,1uM RA D3-D5,D6,S4T21_D6_RA_4,M,4,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_4,2,Set4,SAB64,T21_RA_D6,6
Set4_SAB65,0.021198499754985112,curated_pluripotency,SAB65,D21,No Treatment,D8,S4D21_D8_NT_1,M,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,2,Set4,SAB65,D21_CTRL_D8,8
Set4_SAB66,-0.02070846997625242,curated_pluripotency,SAB66,T21,No Treatment,D8,S4T21_D8_NT_1,M,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,2,Set4,SAB66,T21_CTRL_D8,8
Set4_SAB67,-0.012679520524708832,curated_pluripotency,SAB67,D21,1uM RA D3-D5,D8,S4D21_D8_RA_1,M,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,2,Set4,SAB67,D21_RA_D8,8
Set4_SAB68,-0.05058615100456104,curated_pluripotency,SAB68,T21,1uM RA D3-D5,D8,S4T21_D8_RA_1,M,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,2,Set4,SAB68,T21_RA_D8,8
