sampleID_unique,score,module,sampleID,genotype,treatment_protocol,timepoint,fullSampleID,sex,experimentalBatch,treatment,genotype_treatment,genotype_timepoint,genotype_timepoint_treatment,genotype_timepoint_treatment_batch,seq_run,cell_set,sampleID_original,day_num
Set4_SAB70,0.2217315885231267,xu_atrial,SAB70,T21,No Treatment,D10,S4T21_D10_NT_1,M,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,2,Set4,SAB70,10
Set4_SAB71,0.2871760970042152,xu_atrial,SAB71,D21,1uM RA D3-D5,D10,S4D21_D10_RA_1,M,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,2,Set4,SAB71,10
Set4_SAB72,0.3083576295894497,xu_atrial,SAB72,T21,1uM RA D3-D5,D10,S4T21_D10_RA_1,M,1,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_1,2,Set4,SAB72,10
Set4_SAB74,0.14316568916612993,xu_atrial,SAB74,T21,No Treatment,D8,S4T21_D8_NT_3,M,3,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_3,2,Set4,SAB74,8
Set4_SAB76,0.2855883649184663,xu_atrial,SAB76,T21,1uM RA D3-D5,D8,S4T21_D8_RA_3,M,3,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_3,2,Set4,SAB76,8
Set4_SAB78,0.22659931518459508,xu_atrial,SAB78,T21,No Treatment,D10,S4T21_D10_NT_3,M,3,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_3,2,Set4,SAB78,10
Set4_SAB80,0.3070552372557661,xu_atrial,SAB80,T21,1uM RA D3-D5,D10,S4T21_D10_RA_3,M,3,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_3,2,Set4,SAB80,10
Set4_SAB81,0.12175108203094098,xu_atrial,SAB81,D21,No Treatment,D8,S4D21_D8_NT_4,M,4,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_4,2,Set4,SAB81,8
Set4_SAB82,0.16891124521137746,xu_atrial,SAB82,T21,No Treatment,D8,S4T21_D8_NT_4,M,4,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_4,2,Set4,SAB82,8
Set4_SAB83,0.2117715360884158,xu_atrial,SAB83,D21,1uM RA D3-D5,D8,S4D21_D8_RA_4,M,4,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_4,2,Set4,SAB83,8
Set4_SAB84,0.2793970573278639,xu_atrial,SAB84,T21,1uM RA D3-D5,D8,S4T21_D8_RA_4,M,4,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_4,2,Set4,SAB84,8
Set4_SAB85,0.21301460035483832,xu_atrial,SAB85,D21,No Treatment,D10,S4D21_D10_NT_4,M,4,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_4,2,Set4,SAB85,10
Set4_SAB86,0.2277703382264863,xu_atrial,SAB86,T21,No Treatment,D10,S4T21_D10_NT_4,M,4,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_4,2,Set4,SAB86,10
Set4_SAB87,0.28366302787854125,xu_atrial,SAB87,D21,1uM RA D3-D5,D10,S4D21_D10_RA_4,M,4,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_4,2,Set4,SAB87,10
Set4_SAB88,0.3100696681018409,xu_atrial,SAB88,T21,1uM RA D3-D5,D10,S4T21_D10_RA_4,M,4,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_4,2,Set4,SAB88,10
Set3_SAB01,-0.31893356386525185,xu_ventricular,SAB01,D21,No Treatment,D3,S3D21_D3_ctrl_1,F,1,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_1,1,Set3,SAB01,3
Set3_SAB02,-0.3037597043767163,xu_ventricular,SAB02,T21,No Treatment,D3,S3T21 _D3 _ctrl_1,F,1,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_1,1,Set3,SAB02,3
Set3_SAB03,-0.2657968041947769,xu_ventricular,SAB03,D21,No Treatment,D4,S3D21_D4_ctrl_1,F,1,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_1,1,Set3,SAB03,4
Set3_SAB04,-0.2728624944909652,xu_ventricular,SAB04,T21,No Treatment,D4,S3T21 _D4 _ctrl_1,F,1,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_1,1,Set3,SAB04,4
Set3_SAB05,-0.2511201704128103,xu_ventricular,SAB05,D21,1uM RA D3-D5,D4,S3D21_D4_RA_1,F,1,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_1,1,Set3,SAB05,4
Set3_SAB06,-0.23867540201828435,xu_ventricular,SAB06,T21,1uM RA D3-D5,D4,S3T21 _D4_RA_1,F,1,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_1,1,Set3,SAB06,4
Set3_SAB07,-0.1385974279870269,xu_ventricular,SAB07,D21,No Treatment,D6,S3D21_D6_ctrl_1,F,1,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_1,1,Set3,SAB07,6
Set3_SAB08,-0.13591777694906826,xu_ventricular,SAB08,T21,No Treatment,D6,S3T21 _D6_ctrl_1,F,1,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_1,1,Set3,SAB08,6
Set3_SAB09,-0.1625885683289826,xu_ventricular,SAB09,D21,1uM RA D3-D5,D6,S3D21_D6_RA_1,F,1,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_1,1,Set3,SAB09,6
Set3_SAB10,-0.12678831745601243,xu_ventricular,SAB10,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_1,F,1,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_1,1,Set3,SAB10,6
Set3_SAB11,-0.02953407691177634,xu_ventricular,SAB11,D21,No Treatment,D8,S3D21_D8_ctrl_1,F,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,1,Set3,SAB11,8
Set3_SAB12,-0.04088127606197245,xu_ventricular,SAB12,T21,No Treatment,D8,S3T21 _D8_ctrl_1,F,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,1,Set3,SAB12,8
Set3_SAB13,-0.03907177001050954,xu_ventricular,SAB13,D21,1uM RA D3-D5,D8,S3D21_D8_RA_1,F,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,1,Set3,SAB13,8
Set3_SAB14,-0.023854120758043218,xu_ventricular,SAB14,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_1,F,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,1,Set3,SAB14,8
Set3_SAB15,0.01161135030681082,xu_ventricular,SAB15,D21,No Treatment,D10,S3D21_D10_ctrl_1,F,1,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_1,1,Set3,SAB15,10
Set3_SAB16,9.760879637477071e-4,xu_ventricular,SAB16,T21,No Treatment,D10,S3T21 _D10_ctrl_1,F,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,1,Set3,SAB16,10
Set3_SAB17,-0.002784181442180511,xu_ventricular,SAB17,D21,1uM RA D3-D5,D10,S3D21_D10_RA_1,F,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,1,Set3,SAB17,10
Set3_SAB18,-0.005438406165598764,xu_ventricular,SAB18,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_1,F,1,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_1,1,Set3,SAB18,10
